subfield_id,field_id,name_en,slug,paper_count_total
human_factors_and_ergonomics,social_sciences,Human Factors and Ergonomics,human-factors-and-ergonomics,8784
neuropsychology_and_physiological_psychology,psychology,Neuropsychology and Physiological Psychology,neuropsychology-and-physiological-psychology,8168
software,computer_science,Software,software,8017
developmental_biology,biochemistry_genetics_and_molecular_biology,Developmental Biology,developmental-biology,7814
equine,veterinary,Equine,equine,6835
metals_and_alloys,materials_science,Metals and Alloys,metals-and-alloys,6703
anatomy,medicine,Anatomy,anatomy,6654
general_decision_sciences,decision_sciences,General Decision Sciences,general-decision-sciences,6307
architecture,engineering,Architecture,architecture,6165
tourism_leisure_and_hospitality_management,business_management_and_accounting,"Tourism, Leisure and Hospitality Management",tourism-leisure-and-hospitality-management,5994
structural_biology,biochemistry_genetics_and_molecular_biology,Structural Biology,structural-biology,5969
issues_ethics_and_legal_aspects,nursing,"Issues, ethics and legal aspects",issues-ethics-and-legal-aspects,5741
general_energy,energy,General Energy,general-energy,5549
space_and_planetary_science,earth_and_planetary_sciences,Space and Planetary Science,space-and-planetary-science,5266
acoustics_and_ultrasonics,physics_and_astronomy,Acoustics and Ultrasonics,acoustics-and-ultrasonics,5105
medical_laboratory_technology,health_professions,Medical Laboratory Technology,medical-laboratory-technology,4460
leadership_and_management,nursing,Leadership and Management,leadership-and-management,3987
research_and_theory,nursing,Research and Theory,research-and-theory,3823
microbiology,medicine,Microbiology,microbiology,3077
archeology,social_sciences,Archeology,archeology,2882
fuel_technology,energy,Fuel Technology,fuel-technology,2882
computational_mathematics,mathematics,Computational Mathematics,computational-mathematics,2839
filtration_and_separation,chemical_engineering,Filtration and Separation,filtration-and-separation,2741
horticulture,agricultural_and_biological_sciences,Horticulture,horticulture,2463
general_psychology,psychology,General Psychology,general-psychology,2220
theoretical_computer_science,mathematics,Theoretical Computer Science,theoretical-computer-science,2215
general_arts_and_humanities,arts_and_humanities,General Arts and Humanities,general-arts-and-humanities,1844
nuclear_energy_and_engineering,energy,Nuclear Energy and Engineering,nuclear-energy-and-engineering,1578
general_engineering,engineering,General Engineering,general-engineering,1470
life_span_and_life_course_studies,social_sciences,Life-span and Life-course Studies,life-span-and-life-course-studies,1464
chemical_health_and_safety,chemical_engineering,Chemical Health and Safety,chemical-health-and-safety,1348
medical_terminology,health_professions,Medical Terminology,medical-terminology,667
drug_discovery,pharmacology_toxicology_and_pharmaceutics,Drug Discovery,drug-discovery,382
industrial_relations,business_management_and_accounting,Industrial relations,industrial-relations,212
